Remaining Points,Solution 1,Solution 2,Solution 3,Solution 4,Solution 5,Solution 6,Solution 7,Solution 8,Solution 9,Solution 10,Solution 11,Solution 12,Solution 13,Solution 14,Solution 15,Solution 16,Solution 17,Solution 18,Solution 19,Solution 20,Solution 21,Solution 22,Solution 23,Solution 24,Solution 25,Solution 26,Solution 27,Solution 28,Solution 29,Solution 30,Solution 31,Solution 32,Solution 33,Solution 34,Solution 35,Solution 36
2, D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, S1 D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, D1 D1, S2 D1, D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, S1 D2, T1 D1, S3 D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, D1 D2, S2 D2, D2 D1, D3, S4 D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, S1 D3, T1 D2, S3 D2, S5 D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, D1 D3, S2 D3, D2 D2, T2 D1, D3 D1, S4 D2, D4, S6 D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9, S1 D4, T1 D3, S3 D3, S5 D2, S7 D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10, D1 D4, S2 D4, D2 D3, T2 D2, D3 D2, S4 D3, D4 D1, D5, S6 D2, S8 D1,,,,,,,,,,,,,,,,,,,,,,,,,,
11, S1 D5, T1 D4, S3 D4, T3 D1, S5 D3, S7 D2, S9 D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, D1 D5, S2 D5, D2 D4, T2 D3, D3 D3, S4 D4, D4 D2, D5 D1, S6 D3, D6, S8 D2, S10 D1,,,,,,,,,,,,,,,,,,,,,,,,
13, S1 D6, T1 D5, S3 D5, T3 D2, S5 D4, S7 D3, S9 D2, S11 D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, D1 D6, S2 D6, D2 D5, T2 D4, D3 D4, S4 D5, D4 D3, T4 D1, D5 D2, S6 D4, D6 D1, D7, S8 D3, S10 D2, S12 D1,,,,,,,,,,,,,,,,,,,,,
15, S1 D7, T1 D6, S3 D6, T3 D3, S5 D5, S7 D4, S9 D3, S11 D2, S13 D1,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, D1 D7, S2 D7, D2 D6, T2 D5, D3 D5, S4 D6, D4 D4, T4 D2, D5 D3, S6 D5, D6 D2, D7 D1, S8 D4, D8, S10 D3, S12 D2, S14 D1,,,,,,,,,,,,,,,,,,,
17, S1 D8, T1 D7, S3 D7, T3 D4, S5 D6, T5 D1, S7 D5, S9 D4, S11 D3, S13 D2, S15 D1,,,,,,,,,,,,,,,,,,,,,,,,,
18, D1 D8, S2 D8, D2 D7, T2 D6, D3 D6, S4 D7, D4 D5, T4 D3, D5 D4, S6 D6, D6 D3, D7 D2, S8 D5, D8 D1, D9, S10 D4, S12 D3, S14 D2, S16 D1,,,,,,,,,,,,,,,,,
19, S1 D9, T1 D8, S3 D8, T3 D5, S5 D7, T5 D2, S7 D6, S9 D5, S11 D4, S13 D3, S15 D2, S17 D1,,,,,,,,,,,,,,,,,,,,,,,,
20, D1 D9, S2 D9, D2 D8, T2 D7, D3 D7, S4 D8, D4 D6, T4 D4, D5 D5, S6 D7, D6 D4, T6 D1, D7 D3, S8 D6, D8 D2, D9 D1, S10 D5, D10, S12 D4, S14 D3, S16 D2, S18 D1,,,,,,,,,,,,,,
21, S1 D10, T1 D9, S3 D9, T3 D6, S5 D8, T5 D3, S7 D7, S9 D6, S11 D5, S13 D4, S15 D3, S17 D2, S19 D1,,,,,,,,,,,,,,,,,,,,,,,
22, D1 D10, S2 D10, D2 D9, T2 D8, D3 D8, S4 D9, D4 D7, T4 D5, D5 D6, S6 D8, D6 D5, T6 D2, D7 D4, S8 D7, D8 D3, D9 D2, S10 D6, D10 D1, D11, S12 D5, S14 D4, S16 D3, S18 D2, S20 D1,,,,,,,,,,,,
23, S1 D11, T1 D10, S3 D10, T3 D7, S5 D9, T5 D4, S7 D8, T7 D1, S9 D7, S11 D6, S13 D5, S15 D4, S17 D3, S19 D2,,,,,,,,,,,,,,,,,,,,,,
24, D1 D11, S2 D11, D2 D10, T2 D9, D3 D9, S4 D10, D4 D8, T4 D6, D5 D7, S6 D9, D6 D6, T6 D3, D7 D5, S8 D8, D8 D4, D9 D3, S10 D7, D10 D2, D11 D1, S12 D6, D12, S14 D5, S16 D4, S18 D3, S20 D2,,,,,,,,,,,
25, S1 D12, T1 D11, S3 D11, T3 D8, S5 D10, T5 D5, S7 D9, T7 D2, S9 D8, S11 D7, S13 D6, S15 D5, S17 D4, S19 D3,,,,,,,,,,,,,,,,,,,,,,
